,ells,Cl
358,358.0,1.784920682232683e-05
359,359.0,1.775599170177725e-05
360,360.0,1.766277658122767e-05
361,361.0,1.7652084908368147e-05
362,362.0,1.764139323550862e-05
363,363.0,1.76307015626491e-05
364,364.0,1.7620009889789573e-05
365,365.0,1.760931821693005e-05
366,366.0,1.7598626544070528e-05
367,367.0,1.7587934871211002e-05
368,368.0,1.757724319835148e-05
369,369.0,1.7566551525491954e-05
370,370.0,1.755585985263243e-05
371,371.0,1.754516817977291e-05
372,372.0,1.7534476506913383e-05
373,373.0,1.752378483405386e-05
374,374.0,1.7513093161194335e-05
375,375.0,1.7502401488334812e-05
376,376.0,1.749170981547529e-05
377,377.0,1.7481018142615764e-05
378,378.0,1.747032646975624e-05
379,379.0,1.7459634796896716e-05
380,380.0,1.7448943124037193e-05
381,381.0,1.748720511894293e-05
382,382.0,1.7525467113848665e-05
383,383.0,1.75637291087544e-05
384,384.0,1.7601991103660137e-05
385,385.0,1.7640253098565872e-05
386,386.0,1.7678515093471608e-05
387,387.0,1.7716777088377344e-05
388,388.0,1.775503908328308e-05
389,389.0,1.7793301078188816e-05
390,390.0,1.783156307309455e-05
391,391.0,1.7869825068000284e-05
392,392.0,1.790808706290602e-05
393,393.0,1.7946349057811756e-05
394,394.0,1.798461105271749e-05
395,395.0,1.8022873047623227e-05
396,396.0,1.8061135042528963e-05
397,397.0,1.80993970374347e-05
398,398.0,1.8137659032340435e-05
399,399.0,1.817592102724617e-05
400,400.0,1.8214183022151907e-05
401,401.0,1.8228380672311807e-05
402,402.0,1.8242578322471705e-05
403,403.0,1.8256775972631605e-05
404,404.0,1.8270973622791506e-05
405,405.0,1.8285171272951407e-05
406,406.0,1.8299368923111304e-05
407,407.0,1.8313566573271205e-05
408,408.0,1.8327764223431105e-05
409,409.0,1.8341961873591003e-05
410,410.0,1.8356159523750904e-05
411,411.0,1.8370357173910804e-05
412,412.0,1.83845548240707e-05
413,413.0,1.8398752474230602e-05
414,414.0,1.8412950124390503e-05
415,415.0,1.84271477745504e-05
416,416.0,1.84413454247103e-05
417,417.0,1.8455543074870202e-05
418,418.0,1.8469740725030102e-05
419,419.0,1.848393837519e-05
420,420.0,1.84981360253499e-05
421,421.0,1.8410417202178788e-05
422,422.0,1.8322698379007675e-05
423,423.0,1.8234979555836562e-05
424,424.0,1.814726073266545e-05
425,425.0,1.805954190949434e-05
426,426.0,1.7971823086323227e-05
427,427.0,1.7884104263152115e-05
428,428.0,1.7796385439981002e-05
429,429.0,1.770866661680989e-05
430,430.0,1.7620947793638777e-05
431,431.0,1.7533228970467664e-05
432,432.0,1.744551014729655e-05
433,433.0,1.735779132412544e-05
434,434.0,1.7270072500954326e-05
435,435.0,1.7182353677783213e-05
436,436.0,1.7094634854612103e-05
437,437.0,1.700691603144099e-05
438,438.0,1.6919197208269878e-05
439,439.0,1.6831478385098765e-05
440,440.0,1.6743759561927653e-05
441,441.0,1.678516269723055e-05
442,442.0,1.6826565832533447e-05
443,443.0,1.6867968967836343e-05
444,444.0,1.690937210313924e-05
445,445.0,1.6950775238442138e-05
446,446.0,1.6992178373745034e-05
447,447.0,1.703358150904793e-05
448,448.0,1.7074984644350826e-05
449,449.0,1.7116387779653725e-05
450,450.0,1.715779091495662e-05
451,451.0,1.7199194050259516e-05
452,452.0,1.7240597185562415e-05
453,453.0,1.728200032086531e-05
454,454.0,1.7323403456168207e-05
455,455.0,1.7364806591471103e-05
456,456.0,1.7406209726774002e-05
457,457.0,1.7447612862076898e-05
458,458.0,1.7489015997379794e-05
459,459.0,1.7530419132682693e-05
460,460.0,1.757182226798559e-05
461,461.0,1.7541574334759774e-05
462,462.0,1.751132640153396e-05
463,463.0,1.7481078468308146e-05
464,464.0,1.7450830535082332e-05
465,465.0,1.7420582601856514e-05
466,466.0,1.73903346686307e-05
467,467.0,1.7360086735404886e-05
468,468.0,1.732983880217907e-05
469,469.0,1.7299590868953257e-05
470,470.0,1.7269342935727443e-05
471,471.0,1.723909500250163e-05
472,472.0,1.7208847069275815e-05
473,473.0,1.717859913605e-05
474,474.0,1.7148351202824187e-05
475,475.0,1.7118103269598372e-05
476,476.0,1.7087855336372555e-05
477,477.0,1.705760740314674e-05
478,478.0,1.7027359469920926e-05
479,479.0,1.6997111536695112e-05
480,480.0,1.6966863603469298e-05
481,481.0,1.6946273422781937e-05
482,482.0,1.6925683242094572e-05
483,483.0,1.6905093061407208e-05
484,484.0,1.6884502880719847e-05
485,485.0,1.6863912700032486e-05
486,486.0,1.684332251934512e-05
487,487.0,1.6822732338657757e-05
488,488.0,1.6802142157970396e-05
489,489.0,1.6781551977283035e-05
490,490.0,1.676096179659567e-05
491,491.0,1.6740371615908306e-05
492,492.0,1.6719781435220944e-05
493,493.0,1.6699191254533583e-05
494,494.0,1.667860107384622e-05
495,495.0,1.6658010893158854e-05
496,496.0,1.6637420712471493e-05
497,497.0,1.6616830531784132e-05
498,498.0,1.6596240351096768e-05
499,499.0,1.6575650170409403e-05
500,500.0,1.6555059989722042e-05
501,501.0,1.650591033593416e-05
502,502.0,1.645676068214628e-05
503,503.0,1.6407611028358397e-05
504,504.0,1.6358461374570515e-05
505,505.0,1.6309311720782636e-05
506,506.0,1.6260162066994753e-05
507,507.0,1.621101241320687e-05
508,508.0,1.616186275941899e-05
509,509.0,1.611271310563111e-05
510,510.0,1.6063563451843226e-05
511,511.0,1.6014413798055347e-05
512,512.0,1.5965264144267464e-05
513,513.0,1.5916114490479585e-05
514,514.0,1.5866964836691702e-05
515,515.0,1.581781518290382e-05
516,516.0,1.576866552911594e-05
517,517.0,1.5719515875328058e-05
518,518.0,1.5670366221540175e-05
519,519.0,1.5621216567752296e-05
520,520.0,1.5572066913964413e-05
521,521.0,1.555863135101024e-05
522,522.0,1.5545195788056064e-05
523,523.0,1.5531760225101892e-05
524,524.0,1.5518324662147717e-05
525,525.0,1.5504889099193543e-05
526,526.0,1.5491453536239368e-05
527,527.0,1.5478017973285193e-05
528,528.0,1.5464582410331022e-05
529,529.0,1.5451146847376847e-05
530,530.0,1.5437711284422672e-05
531,531.0,1.5424275721468498e-05
532,532.0,1.5410840158514323e-05
533,533.0,1.539740459556015e-05
534,534.0,1.5383969032605977e-05
535,535.0,1.5370533469651802e-05
536,536.0,1.5357097906697627e-05
537,537.0,1.5343662343743452e-05
538,538.0,1.533022678078928e-05
539,539.0,1.5316791217835106e-05
540,540.0,1.530335565488093e-05
541,541.0,1.5328925909315575e-05
542,542.0,1.535449616375022e-05
543,543.0,1.5380066418184864e-05
544,544.0,1.5405636672619508e-05
545,545.0,1.5431206927054154e-05
546,546.0,1.5456777181488797e-05
547,547.0,1.548234743592344e-05
548,548.0,1.5507917690358087e-05
549,549.0,1.553348794479273e-05
550,550.0,1.5559058199227377e-05
551,551.0,1.558462845366202e-05
552,552.0,1.5610198708096663e-05
553,553.0,1.563576896253131e-05
554,554.0,1.5661339216965953e-05
555,555.0,1.5686909471400596e-05
556,556.0,1.5712479725835243e-05
557,557.0,1.5738049980269886e-05
558,558.0,1.576362023470453e-05
559,559.0,1.5789190489139176e-05
560,560.0,1.581476074357382e-05
561,561.0,1.5812586769196664e-05
562,562.0,1.581041279481951e-05
563,563.0,1.5808238820442353e-05
564,564.0,1.5806064846065194e-05
565,565.0,1.580389087168804e-05
566,566.0,1.5801716897310884e-05
567,567.0,1.5799542922933728e-05
568,568.0,1.5797368948556573e-05
569,569.0,1.5795194974179417e-05
570,570.0,1.5793020999802262e-05
571,571.0,1.5790847025425103e-05
572,572.0,1.5788673051047948e-05
573,573.0,1.5786499076670792e-05
574,574.0,1.5784325102293637e-05
575,575.0,1.5782151127916482e-05
576,576.0,1.5779977153539326e-05
577,577.0,1.5777803179162168e-05
578,578.0,1.5775629204785012e-05
579,579.0,1.5773455230407857e-05
580,580.0,1.57712812560307e-05
581,581.0,1.5771078981455306e-05
582,582.0,1.577087670687991e-05
583,583.0,1.5770674432304515e-05
584,584.0,1.577047215772912e-05
585,585.0,1.577026988315372e-05
586,586.0,1.5770067608578326e-05
587,587.0,1.576986533400293e-05
588,588.0,1.5769663059427535e-05
589,589.0,1.576946078485214e-05
590,590.0,1.5769258510276744e-05
591,591.0,1.576905623570135e-05
592,592.0,1.5768853961125953e-05
593,593.0,1.5768651686550558e-05
594,594.0,1.5768449411975162e-05
595,595.0,1.5768247137399767e-05
596,596.0,1.5768044862824368e-05
597,597.0,1.5767842588248973e-05
598,598.0,1.5767640313673577e-05
599,599.0,1.5767438039098182e-05
600,600.0,1.5767235764522786e-05
601,601.0,1.5678987133219093e-05
602,602.0,1.55907385019154e-05
603,603.0,1.5502489870611708e-05
604,604.0,1.541424123930801e-05
605,605.0,1.532599260800432e-05
606,606.0,1.5237743976700626e-05
607,607.0,1.5149495345396933e-05
608,608.0,1.506124671409324e-05
609,609.0,1.4972998082789546e-05
610,610.0,1.4884749451485853e-05
611,611.0,1.479650082018216e-05
612,612.0,1.4708252188878466e-05
613,613.0,1.4620003557574773e-05
614,614.0,1.453175492627108e-05
615,615.0,1.4443506294967387e-05
616,616.0,1.4355257663663693e-05
617,617.0,1.426700903236e-05
618,618.0,1.4178760401056307e-05
619,619.0,1.4090511769752612e-05
620,620.0,1.400226313844892e-05
621,621.0,1.4007476317661594e-05
622,622.0,1.401268949687427e-05
623,623.0,1.4017902676086945e-05
624,624.0,1.402311585529962e-05
625,625.0,1.4028329034512297e-05
626,626.0,1.4033542213724971e-05
627,627.0,1.4038755392937646e-05
628,628.0,1.4043968572150323e-05
629,629.0,1.4049181751362997e-05
630,630.0,1.4054394930575674e-05
631,631.0,1.4059608109788349e-05
632,632.0,1.4064821289001023e-05
633,633.0,1.40700344682137e-05
634,634.0,1.4075247647426374e-05
635,635.0,1.408046082663905e-05
636,636.0,1.4085674005851726e-05
637,637.0,1.40908871850644e-05
638,638.0,1.4096100364277075e-05
639,639.0,1.4101313543489752e-05
640,640.0,1.4106526722702426e-05
641,641.0,1.4080509284559804e-05
642,642.0,1.405449184641718e-05
643,643.0,1.4028474408274558e-05
644,644.0,1.4002456970131934e-05
645,645.0,1.397643953198931e-05
646,646.0,1.3950422093846688e-05
647,647.0,1.3924404655704065e-05
648,648.0,1.3898387217561443e-05
649,649.0,1.387236977941882e-05
650,650.0,1.3846352341276197e-05
651,651.0,1.3820334903133573e-05
652,652.0,1.379431746499095e-05
653,653.0,1.3768300026848327e-05
654,654.0,1.3742282588705704e-05
655,655.0,1.3716265150563082e-05
656,656.0,1.3690247712420459e-05
657,657.0,1.3664230274277834e-05
658,658.0,1.3638212836135212e-05
659,659.0,1.3612195397992589e-05
660,660.0,1.3586177959849966e-05
661,661.0,1.359220301519918e-05
662,662.0,1.3598228070548393e-05
663,663.0,1.3604253125897606e-05
664,664.0,1.361027818124682e-05
665,665.0,1.3616303236596033e-05
666,666.0,1.3622328291945247e-05
667,667.0,1.362835334729446e-05
668,668.0,1.3634378402643674e-05
669,669.0,1.3640403457992887e-05
670,670.0,1.36464285133421e-05
671,671.0,1.3652453568691312e-05
672,672.0,1.3658478624040526e-05
673,673.0,1.3664503679389739e-05
674,674.0,1.3670528734738952e-05
675,675.0,1.3676553790088166e-05
676,676.0,1.368257884543738e-05
677,677.0,1.3688603900786593e-05
678,678.0,1.3694628956135806e-05
679,679.0,1.370065401148502e-05
680,680.0,1.3706679066834233e-05
681,681.0,1.3677893867016063e-05
682,682.0,1.3649108667197893e-05
683,683.0,1.3620323467379723e-05
684,684.0,1.3591538267561554e-05
685,685.0,1.3562753067743384e-05
686,686.0,1.3533967867925214e-05
687,687.0,1.3505182668107044e-05
688,688.0,1.3476397468288874e-05
689,689.0,1.3447612268470704e-05
690,690.0,1.3418827068652534e-05
691,691.0,1.3390041868834365e-05
692,692.0,1.3361256669016195e-05
693,693.0,1.3332471469198025e-05
694,694.0,1.3303686269379855e-05
695,695.0,1.3274901069561685e-05
696,696.0,1.3246115869743514e-05
697,697.0,1.3217330669925346e-05
698,698.0,1.3188545470107176e-05
699,699.0,1.3159760270289006e-05
700,700.0,1.3130975070470836e-05
701,701.0,1.311189821981682e-05
702,702.0,1.3092821369162805e-05
703,703.0,1.307374451850879e-05
704,704.0,1.3054667667854776e-05
705,705.0,1.303559081720076e-05
706,706.0,1.3016513966546745e-05
707,707.0,1.299743711589273e-05
708,708.0,1.2978360265238715e-05
709,709.0,1.2959283414584699e-05
710,710.0,1.2940206563930685e-05
711,711.0,1.292112971327667e-05
712,712.0,1.2902052862622655e-05
713,713.0,1.288297601196864e-05
714,714.0,1.2863899161314624e-05
715,715.0,1.2844822310660609e-05
716,716.0,1.2825745460006593e-05
717,717.0,1.280666860935258e-05
718,718.0,1.2787591758698564e-05
719,719.0,1.2768514908044549e-05
720,720.0,1.2749438057390534e-05
721,721.0,1.2750688098433606e-05
722,722.0,1.2751938139476678e-05
723,723.0,1.275318818051975e-05
724,724.0,1.2754438221562821e-05
725,725.0,1.2755688262605893e-05
726,726.0,1.2756938303648966e-05
727,727.0,1.2758188344692038e-05
728,728.0,1.275943838573511e-05
729,729.0,1.2760688426778183e-05
730,730.0,1.2761938467821255e-05
731,731.0,1.2763188508864325e-05
732,732.0,1.2764438549907398e-05
733,733.0,1.276568859095047e-05
734,734.0,1.2766938631993542e-05
735,735.0,1.2768188673036615e-05
736,736.0,1.2769438714079687e-05
737,737.0,1.2770688755122757e-05
738,738.0,1.277193879616583e-05
739,739.0,1.2773188837208902e-05
740,740.0,1.2774438878251974e-05
741,741.0,1.2770674982472962e-05
742,742.0,1.2766911086693949e-05
743,743.0,1.2763147190914936e-05
744,744.0,1.2759383295135924e-05
745,745.0,1.2755619399356911e-05
746,746.0,1.2751855503577897e-05
747,747.0,1.2748091607798884e-05
748,748.0,1.2744327712019871e-05
749,749.0,1.2740563816240859e-05
750,750.0,1.2736799920461846e-05
751,751.0,1.2733036024682833e-05
752,752.0,1.272927212890382e-05
753,753.0,1.2725508233124808e-05
754,754.0,1.2721744337345795e-05
755,755.0,1.271798044156678e-05
756,756.0,1.2714216545787768e-05
757,757.0,1.2710452650008755e-05
758,758.0,1.2706688754229743e-05
759,759.0,1.270292485845073e-05
760,760.0,1.2699160962671717e-05
761,761.0,1.2675462522001067e-05
762,762.0,1.265176408133042e-05
763,763.0,1.262806564065977e-05
764,764.0,1.2604367199989121e-05
765,765.0,1.2580668759318471e-05
766,766.0,1.2556970318647821e-05
767,767.0,1.2533271877977173e-05
768,768.0,1.2509573437306523e-05
769,769.0,1.2485874996635875e-05
770,770.0,1.2462176555965225e-05
771,771.0,1.2438478115294575e-05
772,772.0,1.2414779674623927e-05
773,773.0,1.2391081233953277e-05
774,774.0,1.2367382793282629e-05
775,775.0,1.2343684352611979e-05
776,776.0,1.2319985911941329e-05
777,777.0,1.229628747127068e-05
778,778.0,1.227258903060003e-05
779,779.0,1.2248890589929383e-05
780,780.0,1.2225192149258733e-05
781,781.0,1.2186238912097005e-05
782,782.0,1.2147285674935277e-05
783,783.0,1.2108332437773547e-05
784,784.0,1.206937920061182e-05
785,785.0,1.2030425963450092e-05
786,786.0,1.1991472726288364e-05
787,787.0,1.1952519489126636e-05
788,788.0,1.1913566251964906e-05
789,789.0,1.1874613014803178e-05
790,790.0,1.183565977764145e-05
791,791.0,1.1796706540479723e-05
792,792.0,1.1757753303317995e-05
793,793.0,1.1718800066156265e-05
794,794.0,1.1679846828994537e-05
795,795.0,1.164089359183281e-05
796,796.0,1.1601940354671082e-05
797,797.0,1.1562987117509354e-05
